Year,Actress,Character,Film
1980,Sissy Spacek,Loretta Lynn,Coal Miner's Daughter
1980,Irene Cara,Coco Hernandez,Fame
1980,Goldie Hawn,Judy Benjamin,Private Benjamin
1980,Bette Midler,Herself / The Divine Miss M,Divine Madness
1980,Dolly Parton,Doralee Rhodes,9 to 5
1981,Bernadette Peters,Eileen Everson,Pennies from Heaven
1981,Blair Brown,Dr. Nell Porter,Continental Divide
1981,Carol Burnett,Kate Burroughs,The Four Seasons
1981,Jill Clayburgh,Ruth Loomis,First Monday in October
1981,Liza Minnelli,Linda Marolla,Arthur
1982,Julie Andrews,Victoria Grant / Victor Grezhinski,Victor/Victoria
1982,Carol Burnett,Miss Hannigan,Annie
1982,Sally Field,Kay,Kiss Me Goodbye
1982,Goldie Hawn,Paula McCullen,Best Friends
1982,Dolly Parton,Mona Stangley,The Best Little Whorehouse in Texas
1982,Aileen Quinn,Annie,Annie
1983,Julie Walters,"Susan ""Rita"" White",Educating Rita
1983,Anne Bancroft,Anna Bronski,To Be or Not to Be
1983,Jennifer Beals,Alex Owens,Flashdance
1983,Linda Ronstadt,Mabel,The Pirates of Penzance
1983,Barbra Streisand,Yentl Mendel,Yentl
1984,Kathleen Turner,Joan Wilder,Romancing the Stone
1984,Anne Bancroft,Estelle Rolfe,Garbo Talks
1984,Mia Farrow,Tina Vitale,Broadway Danny Rose
1984,Shelley Long,Lucy Brodsky,Irreconcilable Differences
1984,Lily Tomlin,Edwina Cutwater,All of Me
1985,Kathleen Turner,Irene Walker,Prizzi's Honor
1985,Rosanna Arquette,Roberta Glass,Desperately Seeking Susan
1985,Glenn Close,Jan / Maxie,Maxie
1985,Mia Farrow,Cecelia,The Purple Rose of Cairo
1985,Sally Field,Emma Moriarty,Murphy's Romance
1986,Sissy Spacek,Rebecca Magrath / Babe Botrelle,Crimes of the Heart
1986,Julie Andrews,Gillian Fairchild,That's Life!
1986,Melanie Griffith,Audrey Hankel,Something Wild
1986,Bette Midler,Barbara Whiteman,Down and Out in Beverly Hills
1986,Kathleen Turner,Peggy Sue,Peggy Sue Got Married
1987,Cher,Loretta Castorini,Moonstruck
1987,Jennifer Grey,"Frances ""Baby"" Houseman",Dirty Dancing
1987,Holly Hunter,Jane Craig,Broadcast News
1987,Diane Keaton,J.C. Wiatt,Baby Boom
1987,Bette Midler,Sandy Bronzinsky,Outrageous Fortune
1988,Melanie Griffith,Tess McGill,Working Girl
1988,Jamie Lee Curtis,Wanda Gershwitz,A Fish Called Wanda
1988,Amy Irving,Isabelle Grossman,Crossing Delancey
1988,Michelle Pfeiffer,Angela DeMarco,Married to the Mob
1988,Susan Sarandon,Annie Savoy,Bull Durham
1989,Jessica Tandy,Daisy Werthan,Driving Miss Daisy
1989,Pauline Collins,Shirley Valentine-Bradshaw,Shirley Valentine
1989,Meg Ryan,Sally Albright,When Harry Met Sally...
1989,Meryl Streep,Mary Fisher,She-Devil
1989,Kathleen Turner,Barbara Rose,The War of the Roses
