Year,Actor,Character,Film,Ref
1980,Timothy Hutton,Conrad Jarrett,Ordinary People,
1980,Judd Hirsch,Tyrone Berger,Ordinary People,
1980,Joe Pesci,Joey LaMotta,Raging Bull,
1980,Jason Robards,Howard Hughes,Melvin and Howard,
1980,Scott Wilson,Capt. Billy Cutshaw,The Ninth Configuration,
1981,John Gielgud,Hobson,Arthur,
1981,James Coco,Jimmy,Only When I Laugh,
1981,Jack Nicholson,Eugene O'Neill,Reds,
1981,Orson Welles,Judge Rauch,Butterfly,
1981,"Howard E. Rollins, Jr.","Coalhouse Walker, Jr.",Ragtime,
1982,Louis Gossett Jr.,Emil Foley,An Officer and a Gentleman,
1982,David Keith,Sid Worley,An Officer and a Gentleman,
1982,Raul Julia,Kalibanos,Tempest,
1982,James Mason,Ed Concannon,The Verdict,
1982,Jim Metzler,Mason McCormick,Tex,
1983,Jack Nicholson,Garrett Breedlove,Terms of Endearment,
1983,Steven Bauer,Manny Ribera,Scarface,
1983,Charles Durning,Col. Erhardt,To Be or Not to Be,
1983,Gene Hackman,Alex Grazier,Under Fire,
1983,Kurt Russell,Drew Stephens,Silkwood,
1984,Haing S. Ngor,Dith Pran,The Killing Fields,
1984,Adolph Caesar,Sgt. Waters,A Soldier's Story,
1984,Richard Crenna,Phil Brody,The Flamingo Kid,
1984,Jeffrey Jones,Emperor Joseph II,Amadeus,
1984,"Noriyuki ""Pat"" Morita",Keisuke Miyagi,The Karate Kid,
1985,Klaus Maria Brandauer,Bror von Blixen-Finecke,Out of Africa,
1985,Joel Grey,Chiun,Remo Williams: The Adventure Begins,
1985,John Lone,Joey Tai,Year of the Dragon,
1985,Eric Roberts,Buck,Runaway Train,
1985,Eric Stoltz,Rocky Dennis,Mask,
1986,Tom Berenger,Sgt. Barnes,Platoon,
1986,Michael Caine,Elliot,Hannah and Her Sisters,
1986,Dennis Hopper,Frank Booth,Blue Velvet,
1986,Dennis Hopper,Shooter,Hoosiers,
1986,Ray Liotta,Ray Sinclair,Something Wild,
1987,Sean Connery,Jim Malone,The Untouchables,
1987,Richard Dreyfuss,Aaron Levinsky,Nuts,
1987,R. Lee Ermey,Gny. Sgt. Hartman,Full Metal Jacket,
1987,Morgan Freeman,Fast Black,Street Smart,
1987,Rob Lowe,Rory,Square Dance,
1988,Martin Landau,Abe Karatz,Tucker: The Man and His Dream,
1988,Alec Guinness,William Dorrit,Little Dorrit,
1988,Neil Patrick Harris,David Hart,Clara's Heart,
1988,Raul Julia,Roberto Strausmann,Moon Over Parador,
1988,Lou Diamond Phillips,Angel Guzman,Stand and Deliver,
1988,River Phoenix,Danny Pope,Running on Empty,
1989,Denzel Washington,Pvt. Trip,Glory,
1989,Danny Aiello,Sal,Do the Right Thing,
1989,Marlon Brando,Ian McKenzie,A Dry White Season,
1989,Sean Connery,Professor Henry Jones,Indiana Jones and the Last Crusade,
1989,Ed Harris,Dave,Jacknife,
1989,Bruce Willis,Emmett Smith,In Country,
