name,popularity,popularity_0,vote_avg_0,year_of_release_0,budget_0,revenue_0,popularity_1,vote_avg_1,year_of_release_1,budget_1,revenue_1,popularity_2,vote_avg_2,year_of_release_2,budget_2,revenue_2,number_of_movies,popularity_beginning,vote_average_beginning,budget_beginning,revenue_beginning,popularity_middle,vote_average_middle,budget_middle,revenue_middle,popularity_end,vote_average_end,budget_end,revenue_end,Popularity (%)
Johnny Depp,57.737,122.016,7.796,2003.0,140000000.0,655011224.0,112.654,7.042,2005.0,150000000.0,474968763.0,105.083,7.347,2006.0,200000000.0,1065659812.0,29.0,26.699666666666666,6.736444444444444,10233333.333333334,31159952.111111112,30.555777777777777,6.634666666666667,49007777.777777776,126869824.77777778,47.076181818181816,6.4866363636363635,99090909.0909091,283891706.0,98.0
Morgan Freeman,91.283,125.459,8.7,1994.0,25000000.0,28341469.0,67.642,8.37,1995.0,33000000.0,327311859.0,52.474,6.44,2014.0,40000000.0,458863600.0,47.0,22.89033333333333,6.616133333333335,26893333.333333332,76099744.93333334,24.56573333333333,6.383066666666667,51166666.666666664,130580530.13333334,31.142411764705884,6.6764705882352935,68588235.29411764,218271392.4117647,98.0
Leonardo DiCaprio,67.448,139.51,7.899,1997.0,200000000.0,2264162353.0,73.015,8.2,2010.0,80000000.0,294800000.0,101.797,8.365,2010.0,160000000.0,825532764.0,15.0,26.559999999999995,7.095599999999999,12500000.0,42163515.0,38.6446,7.5404,73000000.0,204375103.8,30.4258,7.0714,69000000.0,210055193.0,98.0
Jim Carrey,43.59,67.653,8.134,1998.0,60000000.0,264118201.0,48.025,6.709,2003.0,80000000.0,484592874.0,50.78,8.101,2004.0,20000000.0,72258126.0,26.0,27.961625,6.166625,15525000.0,101422327.0,48.692625,6.7982499999999995,64750000.0,238645186.0,28.914899999999996,6.6021,76300000.0,178980545.5,98.0
Marilyn Monroe,16.013,17.394,6.828,1953.0,0.0,0.0,15.407,7.079,1955.0,1800000.0,12000000.0,25.693,8.111,1959.0,2883848.0,25000000.0,8.0,15.801,7.809,1316000.0,4200000.0,14.9175,6.735,625000.0,5250000.0,19.74175,7.1485,2350962.0,11442500.0,97.0
Tom Cruise,56.208,77.884,7.073,2011.0,145000000.0,694713380.0,35.52,6.622,2013.0,120000000.0,286168572.0,48.32,7.609,2014.0,178000000.0,370541256.0,30.0,25.2485,6.475700000000001,12210000.0,82367943.7,31.828800000000008,7.1126000000000005,46800000.0,232842045.2,35.514799999999994,6.5405999999999995,95500000.0,308475835.9,97.0
Lindsay Lohan,33.413,56.146,7.17,1998.0,15000000.0,92108518.0,32.224,6.469,2003.0,26000000.0,160846332.0,92.428,7.192,2004.0,17000000.0,130126277.0,15.0,42.2358,6.525799999999999,16000000.0,82482439.0,16.7312,6.134600000000001,34600000.0,75332581.8,17.4996,5.337199999999999,12450000.0,16412965.8,97.0
Denzel Washington,77.941,35.707,6.779,2010.0,80000000.0,157107755.0,27.927,6.82,2012.0,31000000.0,161772375.0,217.606,7.257,2014.0,55000000.0,192330738.0,34.0,12.956363636363635,6.439818181818182,12454545.454545457,18062145.0,18.150363636363636,6.5476363636363635,40272727.27272727,72889816.45454545,26.532166666666665,7.003416666666666,57625000.0,117047749.75,97.0
Will Smith,82.72,46.994,6.94,2004.0,120000000.0,347234916.0,90.796,7.201,2007.0,150000000.0,585410052.0,66.883,5.91,2016.0,175000000.0,746846894.0,19.0,23.844333333333335,6.453333333333334,37333333.333333336,202623640.16666663,26.79383333333333,6.346999999999999,108666666.66666669,196190176.33333337,37.477714285714285,6.918142857142857,87142857.14285715,318822234.14285713,97.0
Whoopi Goldberg,36.576,41.922,7.2,1990.0,22000000.0,505000000.0,36.885,6.825,1992.0,31000000.0,231605150.0,30.901,6.379,1993.0,38000000.0,57319029.0,44.0,18.611428571428572,6.422928571428571,18928571.42857143,89668716.14285715,14.652,5.904071428571429,26678571.42857143,19850350.64285714,20.6791875,6.0201875000000005,36125000.0,107618495.8125,97.0
Jackie Chan,156.714,57.09,7.019,1998.0,33000000.0,244721064.0,50.15,6.717,2001.0,90000000.0,347325802.0,64.894,6.436,2007.0,140000000.0,258097122.0,36.0,20.3575,6.56625,5743599.916666667,14413202.75,25.05575,6.389833333333335,29492861.666666668,80794032.66666667,26.463083333333337,6.341,39083333.333333336,75775155.25,97.0
Robert Downey Jr.,48.725,106.512,7.639,2008.0,140000000.0,585174222.0,160.584,7.711,2012.0,220000000.0,1518815515.0,245.012,8.252,2018.0,300000000.0,2052415039.0,38.0,13.95225,6.261333333333333,12625000.0,25545773.583333332,14.708583333333335,6.179916666666666,24333333.333333332,26712570.0,30.737928571428565,6.729214285714287,56121428.571428575,154869599.7142857,96.0
Alec Baldwin,52.64,51.979,7.379,1988.0,15000000.0,74714298.0,14.952,6.999,2013.0,18000000.0,99206215.0,20.411,6.449,2017.0,125000000.0,527965936.0,46.0,17.319200000000002,6.3,15633333.333333334,42409619.266666666,19.985933333333328,6.098666666666667,53066666.666666664,94285563.8,27.061625,6.4588125,56718750.0,137707820.1875,96.0
Robin Williams,26.447,43.394,8.312,1989.0,16400000.0,235860116.0,31.403,7.188,1993.0,25000000.0,441286195.0,19.859,7.239,1995.0,65000000.0,262821940.0,49.0,18.119375,6.519937499999999,22001875.0,98814626.3125,19.906875,6.8296875,51812500.0,111317479.375,20.35382352941177,6.212470588235294,47300000.0,127950401.76470588,96.0
George Clooney,46.683,38.159,7.431,2001.0,85000000.0,450717150.0,26.994,6.565,2004.0,110000000.0,362744280.0,29.836,7.162,2013.0,105000000.0,723192705.0,33.0,21.353,6.425363636363636,47481818.18181818,106187043.8181818,24.018545454545457,6.397545454545455,44472727.27272727,141982756.27272728,19.00163636363636,6.519454545454547,34409090.90909091,110794511.36363636,96.0
Chuck Norris,34.132,13.099,5.827,1984.0,2550000.0,22812411.0,63.173,6.331,2012.0,100000000.0,314975955.0,106.603,6.963,0.0,0.0,0.0,22.0,8.129,4.9882857142857135,1907142.857142857,12670714.285714284,13.228428571428571,5.809,1422857.142857143,14646366.285714284,18.878375,5.5255,16500000.0,65314864.375,96.0
Brad Pitt,42.019,78.965,8.4,1999.0,63000000.0,100853753.0,76.206,8.216,2009.0,70000000.0,321457747.0,86.196,6.809,2013.0,200000000.0,531865000.0,37.0,22.37875,6.622333333333334,19208333.333333332,56939939.666666664,35.78925,7.149416666666666,60583333.333333336,136957438.91666666,34.86653846153847,6.936615384615385,85923076.92307693,250015837.7692308,96.0
Michael J. Fox,22.837,75.178,8.312,1985.0,19000000.0,381109762.0,44.87,7.753,1989.0,40000000.0,332000000.0,37.815,7.465,1990.0,40000000.0,244527583.0,18.0,32.4745,6.876,19950000.0,141903936.33333334,14.052833333333334,6.1611666666666665,23000000.0,44173144.166666664,27.0655,6.503166666666666,60000000.0,105588638.16666669,96.0
Samuel L. Jackson,55.855,84.273,8.489,1994.0,8500000.0,213900000.0,34.867,7.747,2015.0,44000000.0,155760117.0,157.627,6.84,2019.0,152000000.0,1131416446.0,66.0,22.719318181818185,6.762227272727273,18663636.363636363,71905227.18181819,25.459454545454545,6.491863636363638,54386363.63636363,175699810.5,27.361954545454545,6.339181818181817,48780227.27272727,127350164.95454544,96.0
Sylvester Stallone,69.111,69.227,7.788,1976.0,1000000.0,225250402.0,78.847,6.233,2010.0,80000000.0,274470394.0,63.173,6.331,2012.0,100000000.0,314975955.0,49.0,26.5675,6.3347500000000005,6294687.5,60642317.0,29.3375,6.208875000000001,37125000.0,106130716.75,27.856000000000005,5.881588235294117,48582352.941176474,103379319.05882353,95.0
