name,popularity,career_length,number_of_movies,interval,start_date_1,end_date_1,start_date_2,end_date_2,count_interval_1,count_interval_2,avg_budget_0,avg_budget_1,std_budget_0,std_budget_1,avg_revenue_0,avg_revenue_1,avg_imdb_rating_0,avg_imdb_rating_1,avg_order_0,avg_order_1,std_order_0,std_order_1,avg_popularity_0,avg_popularity_1,Popularity (%)
Leonardo DiCaprio,67.448,34,68,6205,1989,2006,2006,2023,25,43,40333173.07692307,51114098.83720929,40275257.98536518,41013619.312208,188232154.63884616,163623564.5638417,6.320000000000001,7.513953488372094,3.4,4.744186046511628,6.039867548216599,6.857665964234085,49.420280000000005,52.95520930232557,98.0
Johnny Depp,57.737,39,127,6935,1984,2003,2003,2023,39,88,33148831.427581437,58222674.74150285,25331296.51553633,67094185.44815426,83273847.45668745,168911041.85215753,6.869230769230769,6.876136363636363,3.2564102564102564,8.5,5.381439845064577,18.20838967469267,43.95564102564102,45.40829545454546,98.0
Matthew Marsden,15.851,28,27,5110,1993,2007,2007,2021,9,18,32611111.111111112,43336174.24242425,23208216.968921658,56789531.673469335,82077549.22222222,113427805.8560606,5.533333333333334,5.227777777777777,10.444444444444445,29.5,9.032178414622924,97.80380019883344,11.396444444444445,9.743055555555555,97.75823276070831
Lindsay Lohan,33.413,27,38,4745,1996,2009,2009,2023,19,19,18644811.60287081,7730113.636363637,19042111.727000616,6154551.502627678,55786836.65311004,19136786.236842107,6.026315789473684,5.652631578947369,5.473684210526316,9.842105263157896,9.615603662537982,15.393994583995326,34.32326315789473,25.257,97.0
Will Smith,82.72,32,83,5840,1990,2006,2006,2022,39,42,58330998.85189438,49873396.41080312,49698593.30614565,44059002.08980564,209956757.3665088,146472647.4488273,6.184615384615385,6.330952380952381,11.871794871794872,11.523809523809524,25.83297384747014,19.203469546683102,61.251897435897426,55.51330952380952,97.0
Alec Baldwin,52.64,39,169,6935,1984,2003,2003,2023,54,115,26890984.53691599,28017534.820971858,26898104.364057686,33529277.280800126,56198424.459331885,76807049.95640804,6.409259259259259,6.573913043478261,3.425925925925926,3.591304347826087,6.410644654276349,5.926940191853397,31.219351851851854,30.33320869565218,96.0
Brad Pitt,42.019,35,100,6205,1987,2004,2004,2022,46,54,33824632.375776395,53137213.78968257,24664822.706857048,43816733.8685419,94447442.08009832,156846296.31718475,6.586956521739133,6.898148148148148,9.717391304347826,11.01851851851852,15.921905942659029,20.72079894493269,48.49252173913043,47.54314814814814,96.0
Jennifer Aniston,42.858,35,55,6205,1988,2005,2005,2023,18,37,25303952.991452992,27712058.21205821,22127783.76958316,18257749.14757678,68230555.14182693,77144631.21275121,5.644444444444444,6.248648648648649,5.0,3.702702702702702,11.200198410940962,9.299418362703513,38.32822222222222,38.37851351351351,95.0
Dwayne Johnson,47.272,27,199,4745,1996,2009,2009,2023,106,90,24939454.511186723,47031410.21105039,25252037.235197306,60284437.515430085,96177549.40055674,145448601.92962962,6.681132075471699,6.712222222222222,7.650943396226415,7.233333333333333,10.725601933964011,11.171441765104053,39.686811320754714,44.36436666666667,95.0
Jamie Foxx,40.698,31,82,5475,1992,2007,2007,2023,29,53,44740732.758620694,47005488.850771874,34074213.86914526,42554687.074209034,84220056.57471263,158356014.724414,6.313793103448275,6.79811320754717,3.7586206896551726,8.81132075471698,6.51605535641371,15.29589487877056,38.33434482758621,38.37020754716982,95.0
Keanu Reeves,70.547,38,123,6935,1985,2004,2004,2023,59,64,26483569.61824806,31705697.831483644,27075137.194359075,38194201.03926335,85379407.20030096,84684015.51892889,6.579661016949153,6.5546875,2.694915254237288,3.359375,4.875585101048276,8.267721851234171,63.78569491525423,63.71668749999999,95.0
Sandra Bullock,47.869,35,59,6205,1987,2004,2004,2022,33,26,36855743.48132488,36393202.146690525,28013466.37724845,24720528.186963193,95023671.0437368,189431826.2173524,5.63939393939394,6.646153846153846,1.4545454545454546,2.3461538461538463,2.336676078625091,3.999445227800665,43.02409090909091,41.87065384615385,94.0
Julia Roberts,27.879,36,76,6570,1987,2005,2005,2023,43,33,34682984.49612404,31992209.595959596,22802037.704231583,20974324.784685005,121887547.73410852,94356694.14873736,6.295348837209303,6.621212121212121,8.418604651162791,16.333333333333332,16.647134760294946,38.60025644966362,29.380302325581397,28.568454545454543,94.0
Adam Sandler,58.319,34,94,6205,1989,2006,2006,2023,42,51,29854166.666666668,37845098.03921568,20780839.75904895,28079825.38439011,75515256.86790293,108068093.21040726,5.973809523809523,6.254901960784314,8.404761904761905,5.490196078431373,14.221143755170166,12.899874674903629,54.94878571428572,56.98945098039215,94.0
Chris Rock,26.275,38,119,6935,1985,2004,2004,2023,48,71,24210488.74393204,25346817.667168055,26293724.24478516,32349322.863453012,57914744.71040655,78003697.43258584,6.529166666666666,6.561971830985915,9.875,14.338028169014084,11.759083368471654,30.022031188366704,23.958812499999997,23.85471830985916,94.0
George Lopez,23.615,33,69,5840,1990,2006,2006,2023,10,59,15291155.660377355,19198724.816117685,14892255.161864163,28447913.666765533,30176798.704599053,63313975.559781745,5.79,5.7372881355932215,6.2,8.677966101694915,5.455272678794342,12.520411372954303,17.6434,17.266457627118644,94.0
Will Ferrell,56.335,28,101,5110,1995,2009,2009,2023,55,47,27426466.70190276,36981754.08213757,18685188.28209174,31389820.95033288,71743277.0669133,113864003.25383474,6.289090909090907,6.280851063829788,8.10909090909091,9.48936170212766,16.596464823211573,19.491266282484148,51.650018181818176,46.87251063829786,94.0
Nicole Kidman,76.842,39,104,6935,1983,2001,2001,2022,37,67,28478932.32186732,35631022.26339891,21650065.291768674,34880536.35647807,71083665.64097051,84359819.29486091,6.132432432432433,6.632835820895522,2.5675675675675675,5.597014925373134,5.563105007683721,19.001225177696003,57.40467567567568,57.057567164179105,94.0
Vin Diesel,76.59,39,57,6935,1984,2002,2002,2023,14,43,49253509.560104534,116154502.87861602,28439471.993544698,84893057.51650819,204572775.883493,506215782.49071175,6.778571428571428,6.662790697674419,6.0,6.627906976744186,15.551756905801442,13.97842732581082,69.2467857142857,70.92618604651163,94.0
Matt Damon,76.351,35,105,6205,1988,2005,2005,2023,42,63,42478194.6589085,59606962.87765294,25409189.10668113,45853273.71068856,114268148.22217764,181941130.78018552,6.723809523809525,7.025396825396824,8.428571428571429,8.793650793650794,14.212909720429815,16.708669672576008,88.3732619047619,86.46841269841273,94.0
Jerry Seinfeld,15.055,37,38,6570,1984,2002,2002,2021,15,23,5750000.0,10923913.043478262,8314144.574157945,30140561.539319117,8061432.55,21156913.5,6.666666666666666,7.143478260869566,21.133333333333333,9.695652173913045,32.38078991555882,16.42753463365354,10.620066666666668,9.232434782608696,94.0
Rosie O'Donnell,16.769,31,53,5475,1992,2007,2007,2023,34,19,17610036.76470588,8262167.763157895,25509869.33779671,6622306.415091877,58408121.21338433,36294179.69576814,6.070588235294117,6.1947368421052635,10.205882352941176,12.0,12.555241257936174,11.369395669723913,14.34014705882353,11.012684210526317,93.0
Mark Wahlberg,49.71,31,68,5475,1991,2005,2005,2022,21,46,42572806.31868131,54349519.648829415,27175463.80681955,41879734.88237258,99910966.64262822,158738798.3946488,6.285714285714286,6.382608695652175,4.142857142857143,2.5,9.228763082190964,4.91559187466381,44.377809523809525,43.70219565217392,93.0
Cameron Diaz,36.2,20,66,3650,1994,2004,2004,2014,30,36,44465166.666666664,44955798.61111111,34270152.61390815,36975625.19796823,169682969.28016666,158190258.0686111,6.416666666666666,6.3583333333333325,7.3,7.194444444444445,19.23391102540857,14.658746809488571,27.375366666666665,28.858722222222223,93.0
Halle Berry,40.287,31,67,5475,1991,2006,2006,2022,42,25,41689816.76003735,46102815.686274506,38989608.65855249,53092896.328512624,102500115.12847224,113088648.70039216,6.176190476190477,6.64,7.833333333333333,6.64,13.880298930956004,12.10910401309692,40.60319047619048,40.533199999999994,93.0
Reese Witherspoon,26.582,32,59,5840,1991,2007,2007,2023,27,31,25456281.563307498,36827184.543135785,17871055.691164203,37329253.987089224,59387286.956018515,83148976.61290322,6.448148148148149,6.416129032258064,1.7407407407407407,7.0,2.6610022143238603,14.696938456699067,29.027037037037037,31.242935483870973,93.0
